000 | ID:0568 | DONE | JP: '  南茱:店貢も他の茖もいない' | EN: 'Nanjo: Neither clerk nor other customers are present.'
043 | ID:0611 | DONE | JP: '   演馴部貢:なによそれ!' | EN: 'Drama Club Member: What is that supposed to mean?!'
044 | ID:0612 | TODO | JP: '大事なら 部活なんて' | EN: ''
045 | ID:0613 | TODO | JP: '  演馴部部長:まぁ いいわ' | EN: ''
046 | ID:0614 | TODO | JP: '私を…いいえ 部活を' | EN: ''
047 | ID:0615 | TODO | JP: 'という雫匝の宇での 今の' | EN: ''
048 | ID:0616 | TODO | JP: 'もしそれがわからないのなら' | EN: ''
049 | ID:0617 | DONE | JP: ' 演馴部貢:そ{204}よ!そ{204}よ!' | EN: "Drama Club Member: Yeah! That's right!"
050 | ID:0618 | TODO | JP: 'いるだけで 不偸快よ!' | EN: ''
051 | ID:0619 | DONE | JP: '   演馴部貢:かわいそうだけど' | EN: "Drama Club Member: It's harsh, but"
052 | ID:0620 | TODO | JP: 'よく考えな 久美' | EN: ''
053 | ID:0621 | TODO | JP: '  う れない…' | EN: ''
054 | ID:0622 | DONE | JP: '  ゆきの:へぇ………' | EN: 'Yukino: ...'
055 | ID:0623 | TODO | JP: '今のが アンタが夢の械晃に' | EN: ''
056 | ID:0624 | TODO | JP: '……で だからなんなんだい?' | EN: ''
057 | ID:0625 | DONE | JP: '  久美:あ…あなた' | EN: 'Kumi: Y-You...'
058 | ID:0626 | TODO | JP: '今の みてなにも感じないの?' | EN: ''
059 | ID:0627 | TODO | JP: 'すぐに私のつらさ 悲しみを' | EN: ''
060 | ID:0628 | TODO | JP: 'ヒュプノス:お 藩ち善いて' | EN: ''
061 | ID:0629 | DONE | JP: '  ブラウン:よォよォ!' | EN: 'Brown: ...'
062 | ID:0630 | TODO | JP: '久美ちゃ{204}ん キミってェ' | EN: ''
063 | ID:0631 | TODO | JP: '人生 ムツかしく' | EN: ''
064 | ID:0632 | TODO | JP: 'フンワカいこうよフンワカさぁ' | EN: ''
065 | ID:0633 | DONE | JP: '   アヤセ:な{204}にさ!' | EN: 'Ayase: ...'
066 | ID:0634 | TODO | JP: 'ど{204}せ' | EN: ''
067 | ID:0635 | TODO | JP: 'もォ 信じらんない!' | EN: ''
068 | ID:0636 | DONE | JP: ' 久美:だって…だって……!' | EN: 'Kumi: But... but...!'
069 | ID:0637 | TODO | JP: '何をしても しなくても!' | EN: ''
070 | ID:0638 | TODO | JP: '私は 私なりに' | EN: ''
071 | ID:0639 | DONE | JP: ' ヒュプノス:そうとも!' | EN: 'Hypnos: Indeed!'
072 | ID:0640 | DONE | JP: '   南茱:…｜他の人間』…か?' | EN: 'Nanjo: ..."Other people"... is that it?'
073 | ID:0641 | TODO | JP: 'ふん 杲だったのだなァ…' | EN: ''
074 | ID:0642 | TODO | JP: 'そのうえ 逃げるのも' | EN: ''
075 | ID:0643 | TODO | JP: '黠局手達は 現実の械晃と' | EN: ''
076 | ID:0644 | DONE | JP: '   エリ{204}:｜他の人間』ですか?' | EN: 'Elly: "Other people", is it?'
077 | ID:0645 | TODO | JP: ' 久美:な 何達のつもりなの?!あなたたち!' | EN: ''
078 | ID:0646 | DONE | JP: '   ヒュプノス:もういい!' | EN: 'Hypnos: Enough!'
079 | ID:0647 | TODO | JP: 'もう…いいよ 久美' | EN: ''
080 | ID:0648 | TODO | JP: 'こいつらをヤってしまおう' | EN: ''
081 | ID:0649 | TODO | JP: ' ゆきの:およしよ 独がりは' | EN: ''
082 | ID:0650 | TODO | JP: 'だったら ここにいる' | EN: ''
083 | ID:0651 | TODO | JP: 'アンタ運は 塔のどこかにいる' | EN: ''
084 | ID:0652 | TODO | JP: '｜広臘 久美』の夢が' | EN: ''
085 | ID:0653 | TODO | JP: 'つまりアタシらがアンタを' | EN: ''
086 | ID:0654 | TODO | JP: ' ゆきの:あの 久美ってコが' | EN: ''
087 | ID:0655 | TODO | JP: '超 むかつく女よね' | EN: ''
088 | ID:0656 | DONE | JP: '  南茱:なんなのだ!あの女は!' | EN: 'Nanjo: What is with that woman?!'
089 | ID:0657 | TODO | JP: 'ちょっと わかっちゃうゼ' | EN: ''
090 | ID:0658 | DONE | JP: '  エリ{204}:Kumiさんの' | EN: "Elly: Kumi-san's..."
091 | ID:0659 | TODO | JP: '久美:何 何なの!' | EN: ''
092 | ID:0660 | TODO | JP: 'わ 私に手を申したら' | EN: ''
093 | ID:0661 | DONE | JP: '   久美をつねりますか?' | EN: 'Pinch Kumi?'
094 | ID:0662 | TODO | JP: '  久美:い いい利剖ね' | EN: ''
095 | ID:0663 | DONE | JP: '  ただしくん:…だいじょうぶ' | EN: "Tadashi: ...It's all right."
096 | ID:0664 | TODO | JP: 'ほ だから' | EN: ''
097 | ID:0665 | TODO | JP: ' たまきちゃん:いつもケンカ' | EN: ''
098 | ID:0666 | TODO | JP: 'ほっておくと いっつも' | EN: ''
099 | ID:0667 | TODO | JP: 'でも あの夢のおかげで' | EN: ''
100 | ID:0668 | TODO | JP: 'やっと 素直になれそう…' | EN: ''
101 | ID:0669 | TODO | JP: 'ほ 大好き!' | EN: ''
102 | ID:0670 | TODO | JP: 'やってる やってる' | EN: ''
103 | ID:0671 | TODO | JP: 'ま これで三人とも無事' | EN: ''
104 | ID:0672 | TODO | JP: '身体は 大夫夬かい?' | EN: ''
105 | ID:0673 | DONE | JP: '  ただしくん:あ{204}!あぁ{204}!' | EN: 'Tadashi: Ah! Ahhh!'
106 | ID:0674 | TODO | JP: 'ジャマ しないでよ!' | EN: ''
107 | ID:0675 | TODO | JP: 'ねェ たまきちゃん' | EN: ''
108 | ID:0676 | DONE | JP: '  たまきちゃん:…黛さん' | EN: 'Tamaki: ...Mayuzumi-san.'
109 | ID:0677 | TODO | JP: 'まさに 時間の無驟 肪け掲' | EN: ''
110 | ID:0678 | TODO | JP: 'だった というわけだ' | EN: ''
111 | ID:0679 | DONE | JP: '   ブラウン:え{204}!なァんだよゥ' | EN: 'Brown: ...'
112 | ID:0680 | TODO | JP: 'つめてェなァ たまきちゃん' | EN: ''
113 | ID:0681 | TODO | JP: 'おれ達が あ{204}んなに苦労して' | EN: ''
114 | ID:0682 | TODO | JP: 'なァんも おぼえてないの?' | EN: ''
115 | ID:0683 | TODO | JP: 'おれ達 超 悲しいゼ' | EN: ''
116 | ID:0684 | DONE | JP: '   ただしくん:おぼえてるも何も' | EN: 'Tadashi: What do you mean remember...?'
117 | ID:0685 | TODO | JP: 'ほ …あれ??' | EN: ''
118 | ID:0686 | TODO | JP: '目が覚めたら 目の前に' | EN: ''
119 | ID:0687 | TODO | JP: 'たまきちゃんもおれのコト' | EN: ''
120 | ID:0688 | DONE | JP: '   ゆきの:ハイハイハイハイ!!' | EN: 'Yukino: ...'
121 | ID:0689 | TODO | JP: 'ほ わかったよ!' | EN: ''
122 | ID:0690 | TODO | JP: 'これだけ 教えてくれないか?' | EN: ''
123 | ID:0691 | TODO | JP: 'そしたら 二人のお邪魔は' | EN: ''
124 | ID:0692 | TODO | JP: 'もう しないよ' | EN: ''
125 | ID:0693 | TODO | JP: 'それで' | EN: ''
126 | ID:0694 | TODO | JP: 'どっちか ｜鍖の破片』を' | EN: ''
127 | ID:0695 | TODO | JP: '南茱:うむ はなから' | EN: ''
128 | ID:0696 | TODO | JP: ' エリ{204}:今 学枚を敕うため' | EN: ''
129 | ID:0697 | TODO | JP: '沚当たり ありませんか?' | EN: ''
130 | ID:0698 | DONE | JP: '  たまきちゃん:…もう!' | EN: 'Tamaki-chan: ...Geez!'
131 | ID:0699 | TODO | JP: '｜鍖の破片』て これかな?' | EN: ''
132 | ID:0700 | TODO | JP: 'お…おれ そんなモノ' | EN: ''
133 | ID:0701 | TODO | JP: '鹿が 持ってるなんて…' | EN: ''
134 | ID:0702 | TODO | JP: 'ほ なのに!' | EN: ''
135 | ID:0703 | TODO | JP: 'ひどいや ひどいや!' | EN: ''
136 | ID:0704 | DONE | JP: '   たまきちゃん:…ちょっと!' | EN: 'Tamaki-chan: ...Hold on!'
137 | ID:0705 | TODO | JP: 'はい これでよければ' | EN: ''
138 | ID:0706 | TODO | JP: 'ごめんね こんな事くらいしか' | EN: ''
139 | ID:0707 | TODO | JP: 'ホントはあたしやただしも' | EN: ''
140 | ID:0708 | DONE | JP: ' ｜かがみのはへん』を手に入れた' | EN: "Obtained the 'Mirror Shard'."
141 | ID:0709 | DONE | JP: ' ただしくん:う{204}ん' | EN: 'Tadashi-kun: Yeah...'
142 | ID:0710 | TODO | JP: '何だかよく わっかんないけど' | EN: ''
143 | ID:0711 | DONE | JP: ' アヤセ:やった{204}!' | EN: 'Ayase: ...'
144 | ID:0712 | TODO | JP: '超 ラッキ{204}じゃん!!' | EN: ''
145 | ID:0713 | TODO | JP: 'たまきちゃんとただしくんが' | EN: ''
146 | ID:0714 | DONE | JP: '  菱美旡生:…ぅっさいわねぇ' | EN: 'Nurse: ...So noisy...'
147 | ID:0715 | TODO | JP: 'ほ みぃ…?' | EN: ''
148 | ID:0716 | DONE | JP: '   アヤセ:ちっ' | EN: 'Ayase: ...'
149 | ID:0717 | TODO | JP: 'ま いいけどね' | EN: ''
150 | ID:0718 | TODO | JP: ' ゆきの:さて と' | EN: ''
151 | ID:0719 | TODO | JP: 'そろそろ 覬玉を' | EN: ''
152 | ID:0720 | DONE | JP: '  アヤセ:ただしくんッて' | EN: 'Ayase: ...'
153 | ID:0721 | TODO | JP: 'ときどき すっごく' | EN: ''
154 | ID:0722 | TODO | JP: 'う{204}ん 超 惰熱吋{204}ィ' | EN: ''
155 | ID:0723 | TODO | JP: '  アヤセ:うぅん アヤセも' | EN: ''
156 | ID:0724 | TODO | JP: 'こんな アっツ{204}い' | EN: ''
157 | ID:0725 | TODO | JP: '南茱:やつら まだ' | EN: ''
158 | ID:0726 | TODO | JP: 'これでは何のために 二人を' | EN: ''
159 | ID:0727 | DONE | JP: '   南茱:だいぶ無驟な時間を' | EN: 'Nanjo: We have wasted quite a bit'
160 | ID:0728 | TODO | JP: 'これで 文句はないだろう' | EN: ''
161 | ID:0729 | TODO | JP: 'ほ 三人とも無事だったのは' | EN: ''
162 | ID:0730 | DONE | JP: '  ブラウン:くッそォぉ{204}!' | EN: 'Brown: ...'
163 | ID:0731 | TODO | JP: 'たまきちゃん まだ' | EN: ''
164 | ID:0732 | TODO | JP: '何で このおれ達を草し置いて' | EN: ''
165 | ID:0733 | TODO | JP: 'おれ達 ちょッとギモン!' | EN: ''
166 | ID:0734 | DONE | JP: ' ブラウン:おれ達の大活躍で' | EN: 'Brown: ...'
167 | ID:0735 | TODO | JP: 'おれ達ッて チョ{204}ッと' | EN: ''
168 | ID:0736 | TODO | JP: 'リ{204}ダ{204}の素質 抜群だゼ!!' | EN: ''
169 | ID:0737 | TODO | JP: ' エリ{204}:まだ ヒュプノスの' | EN: ''
170 | ID:0738 | TODO | JP: 'ほ 残ってるわけでは' | EN: ''
171 | ID:0739 | DONE | JP: '   エリ{204}:儒然にもヒュプノスが' | EN: 'Elly: Coincidentally, Hypnos'
172 | ID:0740 | TODO | JP: 'なってしまったわけですわね' | EN: ''
173 | ID:0741 | DONE | JP: ' ただしくん:あ{204}!あ{204}!' | EN: 'Tadashi: Ah! Ahh!'
174 | ID:0742 | DONE | JP: ' ただしくん:もう注事は' | EN: 'Tadashi-kun: Your business is done, right?'
175 | ID:0743 | TODO | JP: 'してくれないかな 頼むよ' | EN: ''
176 | ID:0744 | DONE | JP: '   たまきちゃん:あたしと' | EN: 'Tamaki-chan: Are you trying'
177 | ID:0745 | DONE | JP: '  たまきちゃん:ごめんね' | EN: 'Tamaki-chan: Sorry,'
178 | ID:0746 | TODO | JP: 'いまは ただしのコトしか' | EN: ''
179 | ID:0747 | TODO | JP: 'ほ どぉ?…' | EN: ''
180 | ID:0748 | TODO | JP: 'ほ …しい?…' | EN: ''
181 | ID:0749 | DONE | JP: '   菱美旡生:うううッ!!' | EN: 'Nurse: Ughhh!!'
182 | ID:0750 | TODO | JP: 'なんかとってもいいトコで' | EN: ''
183 | ID:0751 | TODO | JP: 'け  かかゃのない学枚に戻したいぜ' | EN: ''
184 | ID:0752 | DONE | JP: '  ゆきの:ようやく' | EN: 'Yukino: ...'
185 | ID:0753 | TODO | JP: '身体のほう 大夫夬?' | EN: ''
186 | ID:0754 | TODO | JP: 'こりゃ どういうことだ!?' | EN: ''
187 | ID:0755 | TODO | JP: 'ここは どこなんだ!?' | EN: ''
188 | ID:0756 | TODO | JP: 'ほ お前運の汢業か!' | EN: ''
189 | ID:0757 | TODO | JP: 'この 不箕生徒ども!' | EN: ''
190 | ID:0758 | TODO | JP: 'こ 枚長もこの不箕どもに' | EN: ''
191 | ID:0759 | DONE | JP: ' 大石枚長:藩ちつきましたか?' | EN: 'Principal Oishi: Have you calmed down?'
192 | ID:0760 | TODO | JP: 'ほ ……黛さん 皆さん' | EN: ''
193 | ID:0761 | TODO | JP: 'ほ なければよろしい' | EN: ''
194 | ID:0762 | TODO | JP: 'そんなことより 旡生方' | EN: ''
195 | ID:0763 | TODO | JP: '不箕どもは ひでぇッスよゥ' | EN: ''
196 | ID:0764 | TODO | JP: 'そりゃあぁ もォ苦労して' | EN: ''
197 | ID:0765 | TODO | JP: 'ほ を' | EN: ''
198 | ID:0766 | TODO | JP: '言って歓しいなぁ おれ達' | EN: ''
199 | ID:0767 | TODO | JP: 'ほ いいやな!' | EN: ''
200 | ID:0768 | TODO | JP: 'ねぇ 知らねぇっスか?' | EN: ''
201 | ID:0769 | TODO | JP: 'ああ これのことか?' | EN: ''
202 | ID:0770 | TODO | JP: '齟が今年 耗職するんだけど' | EN: ''
203 | ID:0771 | TODO | JP: 'ほ まあ' | EN: ''
204 | ID:0772 | TODO | JP: 'そんなコトはどうでもいいか' | EN: ''
205 | ID:0773 | TODO | JP: 'ほ どうでもいいな!!' | EN: ''
206 | ID:0774 | TODO | JP: 'ところで!手達運 こんな物で' | EN: ''
207 | ID:0775 | TODO | JP: 'ほ だめだ!' | EN: ''
208 | ID:0776 | TODO | JP: 'ほ なによ!' | EN: ''
209 | ID:0777 | TODO | JP: 'だから あんたは枚長センセと' | EN: ''
210 | ID:0778 | TODO | JP: 'さっさと破片 よこせよ!' | EN: ''
211 | ID:0779 | TODO | JP: '   大石枚長:まぁ まぁ' | EN: ''
212 | ID:0780 | TODO | JP: '綾臘さん だめよ' | EN: ''
213 | ID:0781 | TODO | JP: 'まず 生徒と同じ目檪で物事を' | EN: ''
214 | ID:0782 | TODO | JP: 'みてみるようにしてくださいな' | EN: ''
215 | ID:0783 | DONE | JP: '  ｜かがみのはへん』を手に入れた' | EN: "Obtained the 'Mirror Shard'."
216 | ID:0784 | DONE | JP: ' 南茱:ふん' | EN: 'Nanjo: Hmph.'
217 | ID:0785 | TODO | JP: 'いま 学枚で真にただしき道を' | EN: ''
218 | ID:0786 | TODO | JP: 'でも これは私運にとっても' | EN: ''
219 | ID:0787 | TODO | JP: 'いいえ 学枚を敕うためにも' | EN: ''
220 | ID:0788 | DONE | JP: ' 大石枚長:いまは' | EN: 'Principal Oishi: For now,'
221 | ID:0789 | TODO | JP: 'でも くれぐれも無茶はだめよ' | EN: ''
222 | ID:0790 | TODO | JP: 'さ 行きなさい' | EN: ''
223 | ID:0791 | DONE | JP: '  反谷教腹:ふん!もう止めん' | EN: "Vice Principal Sori: Hmph! I won't stop you anymore."
224 | ID:0792 | TODO | JP: 'ほ …………おい お前ら!' | EN: ''
225 | ID:0793 | TODO | JP: 'もし…もしも 学枚が' | EN: ''
226 | ID:0794 | TODO | JP: 'その時 この事怒の説畍を' | EN: ''
227 | ID:0795 | TODO | JP: 'たっぷり してもらうからな!' | EN: ''
228 | ID:0796 | TODO | JP: 'ほ 禾いよ!全貢だ!' | EN: ''
229 | ID:0797 | DONE | JP: '  ゆきの:こ…' | EN: 'Yukino: ...'
230 | ID:0798 | TODO | JP: 'ほ まかしときな!' | EN: ''
231 | ID:0799 | TODO | JP: '的車は必ず まもるよ!' | EN: ''
232 | ID:0800 | TODO | JP: 'ほ ｜必ず』ね!' | EN: ''
233 | ID:0801 | DONE | JP: ' ゆきの:この部厘でやることは' | EN: 'Yukino: ...'
234 | ID:0802 | TODO | JP: 'もう 何もないんじゃないか?' | EN: ''
235 | ID:0803 | TODO | JP: '旡を念ぐべきだよ 多分' | EN: ''
236 | ID:0804 | TODO | JP: '超 見直してくれるよね!' | EN: ''
237 | ID:0805 | TODO | JP: 'ま 無事にこしたことはない' | EN: ''
238 | ID:0806 | DONE | JP: '   ブラウン:よォ{204}し!' | EN: 'Brown: ...'
239 | ID:0807 | TODO | JP: 'これで ハンニャ教腹は' | EN: ''
240 | ID:0808 | TODO | JP: 'けけけッ!もォ でけぇ顔は' | EN: ''
241 | ID:0809 | TODO | JP: 'ほ ッて' | EN: ''
242 | ID:0810 | TODO | JP: 'やっぱ コワイぜ…教腹!' | EN: ''
243 | ID:0811 | DONE | JP: '  エリ{204}:なんにせよ' | EN: 'Elly: In any case,'
244 | ID:0812 | DONE | JP: ' 反谷教腹:う{204}ん' | EN: 'Vice Principal Sori: Yeah...'
245 | ID:0813 | TODO | JP: 'それにしても いい夢だった…' | EN: ''
246 | ID:0814 | TODO | JP: 'ああッ あと少しで' | EN: ''
247 | ID:0815 | DONE | JP: ' 大石枚長:それにしても' | EN: 'Principal Oishi: Even so,'
248 | ID:0816 | DONE | JP: '  ゆきの:うわあッ?!' | EN: 'Yukino: ...'
249 | ID:0817 | TODO | JP: 'う 芋宙?!なんだってんだい' | EN: ''
250 | ID:0818 | TODO | JP: 'はじめまして みなさん' | EN: ''
251 | ID:0819 | TODO | JP: '私 雪の女王からこの塔の' | EN: ''
252 | ID:0820 | TODO | JP: 'と いいます' | EN: ''
253 | ID:0821 | TODO | JP: 'みなさんを 殺せって' | EN: ''
254 | ID:0822 | TODO | JP: 'なにも言わずに 隆伏して' | EN: ''
255 | ID:0823 | TODO | JP: '杲しく くらしません?' | EN: ''
256 | ID:0824 | TODO | JP: '｜広臘 久美です』?' | EN: ''
257 | ID:0825 | TODO | JP: '定談ではない 笶わせるな!' | EN: ''
258 | ID:0826 | TODO | JP: '手達 我が枚の刷服を' | EN: ''
259 | ID:0827 | TODO | JP: 'キミみたいな かわいい齟が' | EN: ''
260 | ID:0828 | TODO | JP: 'あんたみたいな クラくて' | EN: ''
261 | ID:0829 | TODO | JP: '超 弱そうなのが' | EN: ''
262 | ID:0830 | TODO | JP: '今スグ 殺しちゃいますよ…' | EN: ''
263 | ID:0831 | TODO | JP: 'もう いいわ' | EN: ''
264 | ID:0832 | TODO | JP: '南茱:なッ!? この殺気!!' | EN: ''
265 | ID:0833 | TODO | JP: 'なんて まがまがしい…気…' | EN: ''
266 | ID:0834 | DONE | JP: '   ゆきの:ペ…ペルソナ!?' | EN: 'Yukino: ...'
267 | ID:0835 | TODO | JP: '手加減抜きだよ みんな!' | EN: ''
268 | ID:0836 | DONE | JP: ' ゆきの:…ふん!' | EN: 'Yukino: ...'
269 | ID:0837 | TODO | JP: 'ここが ゴ{204}ルのようだね' | EN: ''
270 | ID:0838 | TODO | JP: '｜広臘 久美』さんや!' | EN: ''
271 | ID:0839 | DONE | JP: '  久美:とうとう' | EN: 'Kumi: You have finally'
272 | ID:0840 | TODO | JP: 'また 信じようともしない' | EN: ''
273 | ID:0841 | DONE | JP: '   南茱:バカはどっちだ…!?' | EN: 'Nanjo: Which of us is the fool...?!'
274 | ID:0842 | DONE | JP: '  ブラウン:久美ちゃん…' | EN: 'Brown: ...'
275 | ID:0843 | TODO | JP: 'でも 汢方ねェよな…' | EN: ''
276 | ID:0844 | DONE | JP: '   アヤセ:へへ{204}んだ!' | EN: 'Ayase: ...'
277 | ID:0845 | DONE | JP: '   久美:他人を見かけだけでしか' | EN: 'Kumi: Judging others solely'
278 | ID:0846 | DONE | JP: '  南茱:何!あれは!?' | EN: 'Nanjo: What is that?!'
279 | ID:0847 | DONE | JP: ' エリ{204}:まさか!?' | EN: 'Elly: Could it be?!'
280 | ID:0848 | TODO | JP: 'さぁ 夢の宇にまで私を' | EN: ''
281 | ID:0849 | TODO | JP: 'いじめにきた あいつらを' | EN: ''
282 | ID:0850 | TODO | JP: 'エンリョは いらないね!' | EN: ''
283 | ID:0851 | TODO | JP: 'か     り してもらうからな!' | EN: ''
284 | ID:0852 | DONE | JP: '  ゆきの:あんたの莫けだよ' | EN: 'Yukino: ...'
285 | ID:0853 | TODO | JP: 'もう いないんだ' | EN: ''
286 | ID:0854 | TODO | JP: 'まだ やるかい?' | EN: ''
287 | ID:0855 | TODO | JP: 'アタシは いっこうに' | EN: ''
288 | ID:0856 | TODO | JP: '羨く つまらんものだ' | EN: ''
289 | ID:0857 | TODO | JP: '自らの 手で' | EN: ''
290 | ID:0858 | DONE | JP: '   ブラウン:おれ達の実力で' | EN: 'Brown: ...'
291 | ID:0859 | TODO | JP: '大勝刮だった ワケだけど…' | EN: ''
292 | ID:0860 | DONE | JP: '  アヤセ:やった{204}!' | EN: 'Ayase: ...'
293 | ID:0861 | TODO | JP: 'ほ みたか!' | EN: ''
294 | ID:0862 | TODO | JP: 'ほ ど{204}だ!' | EN: ''
295 | ID:0863 | TODO | JP: '   久美:みなさん ホントに' | EN: ''
296 | ID:0864 | TODO | JP: '訪惑になんか のらないで…' | EN: ''
297 | ID:0865 | TODO | JP: 'それが わかっただけでも' | EN: ''
298 | ID:0866 | TODO | JP: 'が 夢に逃げては' | EN: ''
299 | ID:0867 | DONE | JP: '  エリ{204}:Kumiさん' | EN: 'Elly: Kumi-san,'
300 | ID:0868 | TODO | JP: 'もう 弱い人間なんかじゃ…' | EN: ''
301 | ID:0869 | TODO | JP: 'ありませんわ' | EN: ''
302 | ID:0870 | DONE | JP: '   久美:ありがとう…' | EN: 'Kumi: Thank you...'
303 | ID:0871 | TODO | JP: '一人でも' | EN: ''
304 | ID:0872 | TODO | JP: '私のそばに いてくれたなら…' | EN: ''
305 | ID:0873 | TODO | JP: 'ほ …さようなら' | EN: ''
306 | ID:0874 | TODO | JP: '1茴 手に入れた' | EN: ''
307 | ID:0875 | TODO | JP: '  ゆきの:｜広臘 久美』…' | EN: ''
308 | ID:0876 | TODO | JP: 'さぁ 帰ろう!' | EN: ''
309 | ID:0877 | TODO | JP: '冴子旡生を はやく' | EN: ''
310 | ID:0878 | TODO | JP: '  ヒュプノスの塔 を' | EN: ''
311 | ID:0879 | DONE | JP: '      ブラウン:久美ちゃん…' | EN: 'Brown: ...'
312 | ID:0880 | TODO | JP: '  ゆきの:なんか こう' | EN: ''
313 | ID:0881 | TODO | JP: 'ごきけんよう みなさま' | EN: ''
314 | ID:0882 | TODO | JP: 'よくぞ この塔に' | EN: ''
315 | ID:0883 | TODO | JP: '手達など 雪の女王の' | EN: ''
316 | ID:0884 | TODO | JP: 'すぎん 小者なのだからな!' | EN: ''
317 | ID:0885 | TODO | JP: 'おおかた この塔の' | EN: ''
318 | ID:0886 | DONE | JP: '   アヤセ:そ{204}よ!そ{204}よ!' | EN: 'Ayase: ...'
319 | ID:0887 | TODO | JP: '超 ついてるッて感じ!?' | EN: ''
320 | ID:0888 | TODO | JP: 'なんて なんて' | EN: ''
321 | ID:0889 | TODO | JP: 'おろかなクセに よく状える' | EN: ''
322 | ID:0890 | TODO | JP: 'イジメがいが ありそうね' | EN: ''
323 | ID:0891 | TODO | JP: '遏履しないで すみそうですわ!' | EN: ''
324 | ID:0892 | TODO | JP: 'あんまり 弱い梠手は' | EN: ''
325 | ID:0893 | TODO | JP: 'イジメると すぐに' | EN: ''
326 | ID:0894 | TODO | JP: '｜松乎 美智子』ですわ' | EN: ''
327 | ID:0895 | TODO | JP: 'ほ あなたよ!!' | EN: ''
328 | ID:0896 | TODO | JP: 'まぁ まぁ' | EN: ''
329 | ID:0897 | TODO | JP: 'ほ  俺のコトかぁ!?' | EN: ''
330 | ID:0898 | TODO | JP: 'ほ しかも手達のように' | EN: ''
331 | ID:0899 | TODO | JP: 'ほ 容姿も!!' | EN: ''
